Date,Close/Last,Volume,Open,High,Low
06/17/2021,$616.6,22701350,$601.888,$621.47,$601.34
06/16/2021,$604.87,22144130,$597.535,$608.5,$593.5
06/15/2021,$599.36,17764150,$616.69,$616.79,$598.23
06/14/2021,$617.69,20423980,$612.23,$625.49,$609.18
06-11-2021,$609.89,16205300,$610.23,$612.56,$601.52
06-10-2021,$610.12,23919610,$603.88,$616.59,$600.5
06-09-2021,$598.78,16584570,$602.17,$611.79,$597.6301
06-08-2021,$603.59,26053410,$623.01,$623.09,$595.5
06-07-2021,$605.13,22543680,$591.825,$610,$582.88
06-04-2021,$599.05,24036900,$579.71,$600.61,$577.2
06-03-2021,$572.84,30111890,$601.8,$604.55,$571.22
06-02-2021,$605.12,23302780,$620.13,$623.36,$599.14
06-01-2021,$623.9,18084890,$627.8,$633.8,$620.55
05/28/2021,$625.22,22737040,$628.5,$635.59,$622.38
05/27/2021,$630.85,26370590,$620.24,$631.13,$616.21
05/26/2021,$619.13,28639310,$607.56,$626.17,$601.5
05/25/2021,$604.69,28005930,$607.31,$613.99,$595.71
05/24/2021,$606.44,34558090,$581.6,$614.48,$573.65
05/21/2021,$580.88,26030600,$596.11,$596.68,$580
05/20/2021,$586.78,30821120,$575,$588.85,$571.07
05/19/2021,$563.46,39578400,$552.55,$566.21,$546.98
05/18/2021,$577.87,36830570,$568,$596.25,$563.38
05/17/2021,$576.83,32247800,$575.553,$589.73,$561.2
05/14/2021,$589.74,33370860,$583.41,$592.87,$570.46
05/13/2021,$571.69,44184920,$601.545,$606.4599,$559.65
05-12-2021,$589.89,33823650,$602.49,$620.41,$586.765
05-11-2021,$617.2,46503900,$599.24,$627.0999,$595.6
05-10-2021,$629.04,31392420,$664.9,$665.05,$627.6101
05-07-2021,$672.37,23469170,$665.8,$690,$660.22
05-06-2021,$663.54,27784620,$680.76,$681.02,$650
05-05-2021,$670.94,21901890,$681.06,$685.2955,$667.34
05-04-2021,$673.6,29739320,$678.94,$683.4464,$657.701
05-03-2021,$684.9,27043140,$703.8,$706,$680.5
04/30/2021,$709.44,40758720,$667.59,$715.47,$666.14
04/29/2021,$677,28845450,$699.51,$702.25,$668.5002
04/28/2021,$694.4,22271050,$696.41,$708.5,$693.6
04/27/2021,$704.74,29437000,$717.96,$724,$703.3501
04/26/2021,$738.2,31038500,$741,$749.3,$732.6053
04/23/2021,$729.4,28413890,$719.8,$737.36,$715.46
04/22/2021,$719.69,35590260,$741.5,$753.77,$718.04
04/21/2021,$744.12,31215510,$704.77,$744.84,$698
04/20/2021,$718.99,35609040,$717.42,$737.25,$710.685
04/19/2021,$714.63,39686230,$719.6,$725.4,$691.8001
04/16/2021,$739.78,27979530,$728.65,$749.41,$724.6
04/15/2021,$738.85,27848900,$743.1,$743.69,$721.31
04/14/2021,$732.23,49017430,$770.7,$780.79,$728.03
04/13/2021,$762.32,44652810,$712.7,$763,$710.66
04-12-2021,$701.98,29135670,$685.7,$704.8,$682.09
04-09-2021,$677.02,21437090,$677.77,$680.97,$669.43
04-08-2021,$683.8,23924330,$677.38,$689.5499,$671.645
04-07-2021,$670.97,26309430,$687,$691.38,$667.84
04-06-2021,$691.62,28271840,$690.3,$696.55,$681.37
04-05-2021,$691.05,41842770,$707.71,$708.16,$684.7
04-01-2021,$661.75,35298380,$688.37,$692.4203,$659.42
03/31/2021,$667.93,33337290,$646.62,$672,$641.11
03/30/2021,$635.62,39432360,$601.75,$637.66,$591.01
03/29/2021,$611.29,28636990,$615.64,$616.48,$596.02
03/26/2021,$618.71,33852830,$641.87,$643.82,$599.89
03/25/2021,$640.39,39224850,$613,$645.5,$609.5
03/24/2021,$630.27,33795170,$667.91,$668.02,$630.11
03/23/2021,$662.16,30491870,$675.77,$677.8,$657.51
03/22/2021,$670,39512220,$684.59,$699.62,$668.75
03/19/2021,$654.87,42893980,$646.6,$657.23,$624.6201
03/18/2021,$653.16,33369020,$684.29,$689.23,$652
03/17/2021,$701.81,40372450,$656.87,$703.73,$651.01
03/16/2021,$676.88,32195670,$703.35,$707.92,$671
03/15/2021,$707.94,29423480,$694.09,$713.18,$684.04
03-12-2021,$693.73,33583840,$670,$694.88,$666.1394
03-11-2021,$699.6,36253890,$699.4,$702.5,$677.18
03-10-2021,$668.06,60605670,$700.3,$717.85,$655.06
03-09-2021,$673.58,67523330,$608.18,$678.09,$595.21
03-08-2021,$563,51786960,$600.55,$620.125,$558.79
03-05-2021,$597.95,89396460,$626.06,$627.8419,$539.49
03-04-2021,$621.44,65919530,$655.8,$873.94,$600
03-03-2021,$653.2,30207960,$687.99,$700.7,$651.705
03-02-2021,$686.44,23732160,$718.28,$721.11,$685
03-01-2021,$718.43,27136240,$690.11,$872,$685.05
02/26/2021,$675.5,41089170,$700,$706.7,$659.51
02/25/2021,$682.22,39023860,$726.15,$737.2066,$670.58
02/24/2021,$742.02,36766950,$711.85,$745,$694.17
02/23/2021,$698.84,66606880,$662.13,$713.6099,$619
02/22/2021,$714.5,37269720,$762.64,$768.5,$710.2
02/19/2021,$781.3,18958260,$795,$796.7899,$777.37
02/18/2021,$787.38,17957060,$780.9,$794.69,$776.27
02/17/2021,$798.15,26078900,$779.09,$799.84,$762.01
02/16/2021,$796.22,19802320,$818,$821,$792.44
02-12-2021,$816.12,23768310,$801.26,$817.33,$785.3306
02-11-2021,$811.66,21622750,$812.44,$829.8799,$801.725
02-10-2021,$804.82,36216090,$843.635,$844.82,$800.02
02-09-2021,$849.46,15157650,$855.12,$859.8,$841.75
02-08-2021,$863.42,20161720,$869.67,$877.77,$854.75
02-05-2021,$852.23,18566640,$845,$864.77,$838.97
02-04-2021,$849.99,15812660,$855,$856.5,$833.42
02-03-2021,$854.69,18343510,$877.02,$878.08,$853.0646
02-02-2021,$872.79,24346210,$844.68,$880.5,$842.2006
02-01-2021,$839.81,25391390,$814.29,$842,$795.5601
01/29/2021,$793.53,34990750,$830,$842.41,$780.1
01/28/2021,$835.43,26378050,$820,$848,$801
01/27/2021,$864.16,27333960,$870.35,$891.5,$858.66
01/26/2021,$883.09,23131600,$891.38,$895.9,$871.6
01/25/2021,$880.8,41173400,$855,$900.4,$838.8201
01/22/2021,$846.64,20066500,$834.31,$848,$828.62
01/21/2021,$844.99,20598130,$855,$855.7199,$841.4201
01/20/2021,$850.45,25665880,$858.74,$859.5,$837.28
01/19/2021,$844.55,25366980,$837.8,$850,$833
01/15/2021,$826.16,38777600,$852,$859.9,$819.1
01/14/2021,$845,31266330,$843.39,$863,$838.75
01/13/2021,$854.41,33312500,$852.76,$860.47,$832
01-12-2021,$849.44,46270720,$831,$868,$827.34
01-11-2021,$811.19,59554150,$849.4,$854.43,$803.6222
01-08-2021,$880.02,75055530,$856,$884.49,$838.39
01-07-2021,$816.04,51498950,$777.63,$816.99,$775.2
01-06-2021,$755.98,44699970,$758.49,$774,$749.1
01-05-2021,$735.11,32245170,$723.66,$740.84,$719.2
01-04-2021,$729.77,48638190,$719.46,$744.4899,$717.1895
12/31/2020,$705.67,49649930,$699.99,$718.72,$691.12
12/30/2020,$694.78,42846020,$672,$696.6,$668.3603
12/29/2020,$665.99,22910810,$661,$669.9,$655
12/28/2020,$663.69,32278560,$674.51,$681.4,$660.8
12/24/2020,$661.77,22865570,$642.99,$666.09,$641
12/23/2020,$645.98,33172970,$632.2,$651.4999,$622.5701
12/22/2020,$640.34,51861640,$648,$649.88,$614.23
12/21/2020,$649.86,58045260,$666.24,$668.5,$646.07
12/18/2020,$695,222126200,$668.9,$695,$628.54
12/17/2020,$655.9,56270140,$628.19,$658.82,$619.5
12/16/2020,$622.77,42095810,$628.23,$632.5,$605
12/15/2020,$633.25,45223560,$643.28,$646.9,$623.8
12/14/2020,$639.83,52040650,$619,$642.7499,$610.2001
12-11-2020,$609.99,46474970,$615.01,$624,$596.8
12-10-2020,$627.07,67083150,$574.37,$627.75,$566.34
12-09-2020,$604.48,71291190,$653.69,$654.32,$588
12-08-2020,$649.88,64265030,$625.505,$651.28,$618.5
12-07-2020,$641.76,56309710,$604.9197,$648.7856,$603.05
12-04-2020,$599.04,29401310,$591.01,$599.04,$585.5
12-03-2020,$593.38,42552000,$590.02,$598.97,$582.43
12-02-2020,$568.82,47775650,$556.44,$571.54,$541.21
12-01-2020,$584.76,40382830,$597.59,$597.85,$572.05
11/30/2020,$567.6,63003050,$602.21,$607.8,$554.51
11/27/2020,$585.76,37561080,$581.16,$598.78,$578.45
11/25/2020,$574,48930160,$550.06,$574,$545.37
11/24/2020,$555.38,53648490,$540.4,$559.99,$526.2
11/23/2020,$521.85,50260300,$503.5,$526,$501.79
11/20/2020,$489.61,32911920,$497.99,$502.5,$489.06
11/19/2020,$499.27,62475350,$492,$508.6112,$487.57
11/18/2020,$486.64,78044020,$448.35,$496,$443.5001
11/17/2020,$441.61,61188280,$460.17,$462,$433.01
11/16/2020,$408.09,26838640,$408.93,$412.45,$404.0868
11/13/2020,$408.5,19830350,$410.85,$412.5319,$401.66
11-12-2020,$411.76,19940500,$415.05,$423,$409.52
11-11-2020,$417.13,17357720,$416.45,$418.695,$410.58
11-10-2020,$410.36,30284220,$420.09,$420.09,$396.0301
11-09-2020,$421.26,34833030,$439.5,$452.5,$421
11-06-2020,$429.95,21706010,$436.1,$436.57,$424.28
11-05-2020,$438.09,28414520,$428.3,$440,$424.0001
11-04-2020,$420.98,32143060,$430.62,$435.4,$417.1
11-03-2020,$423.9,34351720,$409.73,$427.77,$406.69
11-02-2020,$400.51,29021120,$394,$406.9799,$392.3
10/30/2020,$388.04,42587640,$406.8954,$407.5915,$379.11
10/29/2020,$410.83,22655310,$409.96,$418.06,$406.46
10/28/2020,$406.02,25451410,$416.48,$418.6,$406
10/27/2020,$424.68,22686510,$423.76,$430.5,$420.1
10/26/2020,$420.28,28239160,$411.63,$425.76,$410
10/23/2020,$420.63,33716980,$421.84,$422.8859,$407.3801
10/22/2020,$425.79,39993190,$441.92,$445.23,$424.51
10/21/2020,$422.64,32370460,$422.7,$432.95,$421.25
10/20/2020,$421.94,31656290,$431.75,$431.75,$419.0501
10/19/2020,$430.83,36287840,$446.24,$447,$428.87
10/16/2020,$439.67,32775880,$454.44,$455.9499,$438.85
10/15/2020,$448.88,35672350,$450.31,$456.57,$442.5
10/14/2020,$461.3,48045390,$449.78,$465.9,$447.35
10/13/2020,$446.65,34463670,$443.35,$448.89,$436.6
10-12-2020,$442.3,38791130,$442,$448.74,$438.58
10-09-2020,$434,28925660,$430.13,$434.5899,$426.4601
10-08-2020,$425.92,40421120,$438.44,$439,$425.3
10-07-2020,$425.3,43127710,$419.87,$429.9,$413.845
10-06-2020,$413.98,49146260,$423.79,$428.7799,$406.05
10-05-2020,$425.68,44722790,$423.35,$433.64,$419.33
10-02-2020,$415.09,71430030,$421.39,$439.13,$415
10-01-2020,$448.16,50741450,$440.76,$448.88,$434.42
09/30/2020,$429.01,48145570,$421.32,$433.93,$420.47
09/29/2020,$419.07,50341400,$416,$428.5,$411.6
09/28/2020,$421.2,49719560,$424.62,$428.08,$415.55
09/25/2020,$407.34,67208460,$393.47,$408.7323,$391.3
09/24/2020,$387.79,96561060,$363.8,$399.5,$351.3
09/23/2020,$380.36,95074180,$405.16,$412.15,$375.8801
09/22/2020,$424.23,79580800,$429.6,$437.76,$417.6001
09/21/2020,$449.39,109476800,$453.13,$455.68,$407.07
09/18/2020,$442.15,86406820,$447.94,$451,$428.8
09/17/2020,$423.43,76779160,$415.6,$437.79,$408.0001
09/16/2020,$441.76,72546760,$439.87,$457.79,$435.31
09/15/2020,$449.76,97298230,$436.56,$461.94,$430.7
09/14/2020,$419.62,83020610,$380.95,$420,$373.3
09-11-2020,$372.72,60717460,$381.94,$382.5,$360.5
09-10-2020,$371.34,84930610,$386.21,$398.99,$360.56
09-09-2020,$366.28,79465770,$356.6,$369,$341.51
09-08-2020,$330.21,115465700,$356,$368.74,$329.88
09-04-2020,$418.32,110321900,$402.81,$428,$372.0201
09-03-2020,$407,87596090,$407.23,$431.8,$402
09-02-2020,$447.37,96176130,$478.99,$479.04,$405.1206
09-01-2020,$475.05,90119420,$502.14,$502.49,$470.51
08/31/2020,$498.32,118374400,$444.61,$500.14,$440.11
08/28/2020,$442.68,100405900,$459.024,$463.698,$437.304
08/27/2020,$447.75,118465200,$436.092,$459.12,$428.5
08/26/2020,$430.634,71196900,$412,$433.2,$410.7258
08/25/2020,$404.668,53294450,$394.978,$405.59,$393.6
08/24/2020,$402.84,100318100,$425.255,$425.8,$385.504
08/21/2020,$409.996,107447800,$408.952,$419.098,$405.01
08/20/2020,$400.366,103059000,$372.136,$404.398,$371.412
08/19/2020,$375.706,61026650,$373,$382.2,$368.242
08/18/2020,$377.418,82372450,$379.798,$384.78,$369.022
08/17/2020,$367.128,101211600,$335.4,$369.172,$334.566
08/14/2020,$330.142,62888050,$332.998,$333.76,$325.328
08/13/2020,$324.2,102126550,$322.2,$330.236,$313.452
08-12-2020,$310.952,109494150,$294,$317,$287
08-11-2020,$274.878,43129170,$279.2,$284,$273
08-10-2020,$283.714,37611320,$289.6,$291.5,$277.168
08-07-2020,$290.542,44482100,$299.9074,$299.95,$283.002
08-06-2020,$297.916,29961565,$298.166,$303.462,$295.452
08-05-2020,$297.004,24890075,$298.598,$299.9677,$293.662
08-04-2020,$297.4,42074950,$299.002,$305.482,$292.4
08-03-2020,$297,44046730,$289.84,$301.962,$288.8769
07/31/2020,$286.152,61234800,$303,$303.41,$284.196
07/30/2020,$297.498,38105195,$297.6,$302.648,$294.2
07/29/2020,$299.822,47134465,$300.2,$306.962,$297.4
07/28/2020,$295.298,79043500,$300.8,$312.94,$294.884
07/27/2020,$307.92,80243350,$287,$309.588,$282.6001
07/24/2020,$283.4,96983100,$283.202,$293,$273.308
07/23/2020,$302.614,121642500,$335.79,$337.8,$296.154
07/22/2020,$318.466,70805400,$319.8,$325.284,$312.4
07/21/2020,$313.672,80786400,$327.986,$335,$311.6
07/20/2020,$328.6,85606850,$303.802,$330,$297.6
07/17/2020,$300.168,46649860,$302.69,$307.502,$298
07/16/2020,$300.128,71503950,$295.432,$306.342,$293.2
07/15/2020,$309.202,81839150,$308.6,$310,$291.4
07/14/2020,$303.36,117090700,$311.2,$318,$286.2
07/13/2020,$299.412,194926800,$331.8,$358.998,$294.222
07-10-2020,$308.93,116687750,$279.2,$309.783,$275.202
07-09-2020,$278.856,58588000,$279.398,$281.712,$270.256
07-08-2020,$273.176,81556550,$281,$283.452,$262.268
07-07-2020,$277.972,107448300,$281.002,$285.9,$267.342
07-06-2020,$274.316,102849300,$255.338,$275.558,$253.2088
07-02-2020,$241.732,86250600,$244.296,$245.6,$237.12
07-01-2020,$223.926,66634500,$216.6,$227.066,$216.1
06/30/2020,$215.962,84592500,$201.3,$217.538,$200.746
06/29/2020,$201.87,45132020,$193.802,$202,$189.704
06/26/2020,$191.948,44274540,$198.956,$199,$190.974
06/25/2020,$197.196,46272745,$190.854,$197.196,$187.43
06/24/2020,$192.17,54797950,$198.822,$200.1769,$190.6283
06/23/2020,$200.356,31826355,$199.776,$202.4,$198.802
06/22/2020,$198.864,31811750,$199.99,$201.776,$198.004
06/19/2020,$200.18,43398745,$202.556,$203.194,$198.268
06/18/2020,$200.792,48759680,$200.6,$203.84,$198.8942
06/17/2020,$198.358,49454000,$197.542,$201,$196.5142
06/16/2020,$196.426,70255400,$202.37,$202.576,$192.478
06/15/2020,$198.18,78485900,$183.558,$199.768,$181.7
06-12-2020,$187.056,83816850,$196,$197.596,$182.52
06-11-2020,$194.568,79582400,$198.04,$203.792,$194.4
06-10-2020,$205.01,92817050,$198.376,$205.496,$196.5
06-09-2020,$188.134,56940750,$188.002,$190.888,$184.7862
06-08-2020,$189.984,70873650,$183.8,$190,$181.832
06-05-2020,$177.132,39059585,$175.568,$177.304,$173.24
06-04-2020,$172.876,44438565,$177.976,$179.15,$171.688
06-03-2020,$176.592,39747345,$177.624,$179.588,$176.02
06-02-2020,$176.312,67828000,$178.94,$181.732,$174.2
06-01-2020,$179.62,75426500,$171.6,$179.8,$170.82
05/29/2020,$167,59062450,$161.75,$167,$160.842
05/28/2020,$161.162,36378870,$162.702,$164.95,$160.338
05/27/2020,$164.046,57747650,$164.172,$165.542,$157
05/26/2020,$163.774,40448680,$166.9,$166.92,$163.141
05/22/2020,$163.376,49937375,$164.4348,$166.356,$162.4
05/21/2020,$165.52,61272900,$163.2,$166.5,$159.2
05/20/2020,$163.112,36546355,$164.1,$165.2,$162.36
05/19/2020,$161.602,48182610,$163.034,$164.414,$161.216
05/18/2020,$162.726,58490500,$165.556,$166.944,$160.776
05/15/2020,$159.834,52592150,$158.07,$161.0097,$157.3104
05/14/2020,$160.666,68410950,$156,$160.672,$152.8
05/13/2020,$158.192,95327450,$164.166,$165.2,$152.66
05-12-2020,$161.882,79534550,$165.4,$168.658,$161.6
05-11-2020,$162.258,82598000,$158.102,$164.8,$157
05-08-2020,$163.884,80650450,$158.754,$164.8,$157.402
05-07-2020,$156.008,57638450,$155.442,$159.28,$154.47
05-06-2020,$156.516,55616150,$155.3,$157.96,$152.222
05-05-2020,$153.642,84958300,$157.958,$159.784,$152.436
05-04-2020,$152.238,96185450,$140.2,$152.4,$139.6
05-01-2020,$140.264,162659050,$151,$154.554,$136.608
04/30/2020,$156.376,142359250,$171.038,$173.964,$152.7
04/29/2020,$160.102,81079900,$158.034,$160.64,$156.632
04/28/2020,$153.824,76109800,$159.128,$161,$151.338
04/27/2020,$159.75,103407200,$147.522,$159.898,$147
04/24/2020,$145.03,66188050,$142.162,$146.146,$139.636
04/23/2020,$141.126,66183500,$145.52,$146.8,$140.626
04/22/2020,$146.422,71124150,$140.796,$146.8,$137.742
04/21/2020,$137.344,101045450,$146.024,$150.666,$134.758
04/20/2020,$149.272,73731850,$146.54,$153.114,$142.442
04/17/2020,$150.778,65641150,$154.456,$154.99,$149.532
04/16/2020,$149.042,103289300,$143.388,$151.89,$141.343
04/15/2020,$145.966,117885000,$148.4,$150.626,$142
04/14/2020,$141.978,152882550,$139.794,$148.376,$138.486
04/13/2020,$130.19,112377100,$118.032,$130.4,$116.106
04-09-2020,$114.6,68250000,$112.418,$115.0364,$111.422
04-08-2020,$109.768,63280100,$110.84,$111.4416,$106.666
04-07-2020,$109.09,89598900,$109,$113,$106.468
04-06-2020,$103.248,74509200,$102.24,$104.2,$99.592
04-03-2020,$96.002,112810400,$101.9,$103.098,$93.678
04-02-2020,$90.894,99292150,$96.206,$98.852,$89.28
04-01-2020,$96.312,66765900,$100.8,$102.791,$95.02
03/31/2020,$104.8,88857450,$100.25,$108.592,$99.4
03/30/2020,$100.426,59990350,$102.052,$103.3294,$98.246
03/27/2020,$102.872,71887050,$101,$105.16,$98.806
03/26/2020,$105.632,87110400,$109.478,$112,$102.45
03/25/2020,$107.85,106113750,$109.05,$111.4,$102.222
03/24/2020,$101,114475850,$95.46,$102.738,$94.8
03/23/2020,$86.858,82272750,$86.72,$88.4,$82.1
03/20/2020,$85.506,141427500,$87.64,$95.4,$85.158
03/19/2020,$85.528,150977300,$74.9394,$90.4,$71.692
03/18/2020,$72.244,118930800,$77.8,$80.972,$70.102
03/17/2020,$86.04,119972900,$88.002,$94.37,$79.2
03/16/2020,$89.014,102447300,$93.8999,$98.974,$88.434
03/13/2020,$109.324,113201250,$119,$121.514,$100.4
03-12-2020,$112.11,94545250,$116.178,$118.9,$109.25
03-11-2020,$126.846,67067950,$128.04,$130.716,$122.6
03-10-2020,$129.066,77972200,$131.886,$133.6,$121.6
03-09-2020,$121.6,85368700,$121.078,$132.5996,$121
03-06-2020,$140.696,63314600,$138.0008,$141.4,$136.854
03-05-2020,$144.908,54263300,$144.754,$149.15,$143.614
03-04-2020,$149.9,75244900,$152.7921,$153.304,$144.9469
03-03-2020,$149.102,128920000,$161,$161.396,$143.2221
03-02-2020,$148.724,100974950,$142.252,$148.738,$137.334
02/28/2020,$133.598,122820850,$125.94,$138.104,$122.304
02/27/2020,$135.8,121385800,$146,$147.954,$133.8
02/26/2020,$155.76,70769200,$156.5,$162.662,$155.222
02/25/2020,$159.982,86452400,$169.8,$171.32,$157.4
02/24/2020,$166.758,75960800,$167.8,$172.7,$164.44
02/21/2020,$180.2,71697250,$181.396,$182.612,$176.09
02/20/2020,$179.882,88174450,$182.39,$182.4,$171.988
02/19/2020,$183.484,127114800,$184.7,$188.956,$180.204
02/18/2020,$171.68,83491850,$168.32,$172,$166.472
02/14/2020,$160.006,78468550,$157.444,$162.594,$157.1
02/13/2020,$160.8,131446750,$148.368,$163.6,$147
02-12-2020,$153.458,60112350,$155.574,$157.95,$152.674
02-11-2020,$154.876,58487350,$153.758,$156.7012,$151.6
02-10-2020,$154.256,123445800,$160,$163.998,$150.48
02-07-2020,$149.614,85317600,$146.11,$153.95,$146
02-06-2020,$149.792,199403750,$139.984,$159.166,$137.4
02-05-2020,$146.94,242119200,$164.652,$169.196,$140.8221
02-04-2020,$177.412,304693800,$176.592,$193.798,$166.776
02-03-2020,$156,236167500,$134.738,$157.228,$134.704
01/31/2020,$130.114,78596350,$128,$130.6,$126.504
01/30/2020,$128.162,145028400,$126.484,$130.176,$123.6
01/29/2020,$116.198,91083350,$115.138,$117.96,$113.486
01/28/2020,$113.38,58942450,$113.698,$115.362,$111.616
01/27/2020,$111.604,68040350,$108.398,$112.888,$107.856
01/24/2020,$112.964,71768000,$114.126,$114.772,$110.852
01/23/2020,$114.44,98255200,$112.85,$116.4,$111.1205
01/22/2020,$113.912,156845150,$114.378,$118.9,$111.82
01/21/2020,$109.44,89017350,$106.05,$109.716,$105.682
01/17/2020,$102.1,68145350,$101.522,$103.134,$100.632
01/16/2020,$102.698,108683250,$98.75,$102.892,$98.434
01/15/2020,$103.7,86844150,$105.952,$107.568,$103.3571
01/14/2020,$107.584,145306900,$108.851,$109.482,$104.98
01/13/2020,$104.972,133172750,$98.7,$105.126,$98.4
01-10-2020,$95.63,64884150,$96.358,$96.988,$94.74
01-09-2020,$96.268,142315950,$99.42,$99.76,$94.574
01-08-2020,$98.428,155996950,$94.74,$99.698,$93.646
01-07-2020,$93.812,91045700,$92.28,$94.326,$90.671
01-06-2020,$90.308,50787500,$88.094,$90.312,$88
01-03-2020,$88.602,88973500,$88.1,$90.8,$87.384
01-02-2020,$86.052,47791930,$84.9,$86.1391,$84.342
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
